,ActiveTime,InactiveTime,CreateShape,RotateShape,MoveShape,ScaleShape,DeleteFigure,RotateView,cube,pyramid,ramp,cylinder,cone,sphere,spatial_reasoning,snap_submit,puzzle_45-Degree Rotations,puzzle_Angled Silhouette,puzzle_Bird Fez,puzzle_Pi Henge,puzzle_Pyramids are Strange
0,127.222051,0.0,4,2,6,3,1,7,1,1,0,1,0,1,2.9166666666666665,0,0.0,0.0,1.0,0.0,0.0
1,77.29724,0.0,5,0,4,5,0,2,5,0,0,0,0,0,3.388888888888889,0,0.0,0.0,0.0,1.0,0.0
2,125.033755,72.960352,5,12,0,2,1,5,0,5,0,0,0,0,3.0,2,0.0,0.0,0.0,0.0,1.0
3,47.323649,53.387395,5,18,0,0,0,1,0,0,4,0,0,1,3.25,1,1.0,0.0,0.0,0.0,0.0
4,230.7087180000001,0.0,5,2,19,16,0,16,2,0,0,3,0,0,2.458333333333333,9,0.0,0.0,0.0,1.0,0.0
5,117.447731,0.0,4,10,4,11,0,1,0,4,0,0,0,0,2.5,2,0.0,0.0,0.0,0.0,1.0
6,24.435621,0.0,4,4,0,0,0,0,2,2,0,0,0,0,3.9166666666666665,0,0.0,1.0,0.0,0.0,0.0
7,48.88918999999999,0.0,3,0,5,5,0,2,3,0,0,0,0,0,3.388888888888889,0,0.0,0.0,0.0,1.0,0.0
8,57.61245500000001,0.0,5,8,2,0,0,0,0,0,4,0,0,1,3.5,0,1.0,0.0,0.0,0.0,0.0
9,93.14665399999998,0.0,4,6,8,1,0,1,0,4,0,0,0,0,3.0,2,0.0,0.0,0.0,0.0,1.0
10,61.67840200000001,0.0,3,2,6,5,0,1,1,1,0,0,0,1,3.458333333333333,0,0.0,0.0,1.0,0.0,0.0
11,363.3753460000001,0.0,5,4,41,2,1,41,3,2,0,0,0,0,2.1666666666666665,10,0.0,1.0,0.0,0.0,0.0
12,47.364042000000005,0.0,3,0,2,5,0,0,3,0,0,0,0,0,3.6666666666666665,0,0.0,0.0,0.0,1.0,0.0
13,360.4651489999998,0.0,5,30,18,4,0,45,0,0,4,0,0,1,2.125,4,1.0,0.0,0.0,0.0,0.0
14,109.768921,0.0,4,6,2,1,0,5,0,4,0,0,0,0,3.375,1,0.0,0.0,0.0,0.0,1.0
