ActiveTime,InactiveTime,CreateShape,RotateShape,MoveShape,ScaleShape,DeleteFigure,RotateView,Snapshots,CheckSolution,cube,pyramid,ramp,cylinder,cone,sphere,spatial_reasoning,puzzle_45-Degree Rotations,puzzle_Angled Silhouette,puzzle_Bird Fez,puzzle_Pi Henge,puzzle_Pyramids are Strange
127.222051,0.0,4,2,6,3,1,7,0,1,1,1,0,1,0,1,2.9166666666666665,0.0,0.0,1.0,0.0,0.0
77.29724,0.0,5,0,4,5,0,2,0,1,5,0,0,0,0,0,3.388888888888889,0.0,0.0,0.0,1.0,0.0
125.033755,72.960352,5,12,0,2,1,5,2,1,0,5,0,0,0,0,3.0,0.0,0.0,0.0,0.0,1.0
47.323649,53.387395,5,18,0,0,0,1,1,1,0,0,4,0,0,1,3.25,1.0,0.0,0.0,0.0,0.0
230.7087180000001,0.0,5,2,19,16,0,16,0,4,2,0,0,3,0,0,2.458333333333333,0.0,0.0,0.0,1.0,0.0
117.447731,0.0,4,10,4,11,0,1,1,2,0,4,0,0,0,0,2.5,0.0,0.0,0.0,0.0,1.0
24.435621,0.0,4,4,0,0,0,0,0,1,2,2,0,0,0,0,3.9166666666666665,0.0,1.0,0.0,0.0,0.0
48.88918999999999,0.0,3,0,5,5,0,2,0,1,3,0,0,0,0,0,3.388888888888889,0.0,0.0,0.0,1.0,0.0
57.61245500000001,0.0,5,8,2,0,0,0,0,1,0,0,4,0,0,1,3.5,1.0,0.0,0.0,0.0,0.0
93.14665399999998,0.0,4,6,8,1,0,1,0,3,0,4,0,0,0,0,3.0,0.0,0.0,0.0,0.0,1.0
61.67840200000001,0.0,3,2,6,5,0,1,0,1,1,1,0,0,0,1,3.458333333333333,0.0,0.0,1.0,0.0,0.0
31.608949,0.0,4,4,0,0,0,0,0,1,2,2,0,0,0,0,3.875,0.0,1.0,0.0,0.0,0.0
49.45041000000001,0.0,3,4,2,1,0,0,0,2,1,1,0,0,0,1,3.208333333333333,0.0,0.0,1.0,0.0,0.0
