replay,user,group,puzzle,globalAttemptId,attemptId,contextFeatures,attemptFeatures
6. Stretch a Ramp~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,6,"{'#Attempt': 1, '#GlobalAttempt': 6, 'ActiveTime': 849.369498, 'InactiveTime': 84.507868, 'CompletedLevels': 4}","{'ActiveTime': 101.73347100000002, 'InactiveTime': 0, 'InteractionEvents': 32, 'CreateShape': 1, 'UsedFigures': {'cube': 0, 'pyramid': 0, 'ramp': 1, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 1, 'ScaleShape': 2, 'DeleteFigure': 0, 'RotateView': 26, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 2, 'Completed': False}"
6. Stretch a Ramp~2,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,8,"{'#Attempt': 2, '#GlobalAttempt': 8, 'ActiveTime': 1013.522017, 'InactiveTime': 84.507868, 'CompletedLevels': 5}","{'ActiveTime': 74.190692, 'InactiveTime': 0, 'InteractionEvents': 19, 'CreateShape': 1, 'UsedFigures': {'cube': 0, 'pyramid': 0, 'ramp': 1, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 0, 'ScaleShape': 7, 'DeleteFigure': 0, 'RotateView': 6, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 2, 'Completed': True}"
7. Max 2 Boxes~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,7,"{'#Attempt': 1, '#GlobalAttempt': 7, 'ActiveTime': 939.331325, 'InactiveTime': 84.507868, 'CompletedLevels': 4}","{'ActiveTime': 89.96182699999997, 'InactiveTime': 0, 'InteractionEvents': 68, 'CreateShape': 1, 'UsedFigures': {'cube': 1, 'pyramid': 0, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 2, 'ScaleShape': 49, 'DeleteFigure': 0, 'RotateView': 4, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': False}"
7. Max 2 Boxes~2,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,9,"{'#Attempt': 2, '#GlobalAttempt': 9, 'ActiveTime': 1068.061232, 'InactiveTime': 84.507868, 'CompletedLevels': 6}","{'ActiveTime': 54.539214999999984, 'InactiveTime': 0, 'InteractionEvents': 33, 'CreateShape': 1, 'UsedFigures': {'cube': 1, 'pyramid': 0, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 0, 'ScaleShape': 2, 'DeleteFigure': 0, 'RotateView': 29, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': True}"
3. Rotate a Pyramid~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,3,"{'#Attempt': 1, '#GlobalAttempt': 3, 'ActiveTime': 340.27198799999996, 'InactiveTime': 0, 'CompletedLevels': 3}","{'ActiveTime': 225.92097399999997, 'InactiveTime': 0, 'InteractionEvents': 58, 'CreateShape': 5, 'UsedFigures': {'cube': 0, 'pyramid': 5, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 18, 'MoveShape': 9, 'ScaleShape': 0, 'DeleteFigure': 4, 'RotateView': 14, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 6, 'Completed': True}"
8. Combine 2 Ramps~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,10,"{'#Attempt': 1, '#GlobalAttempt': 10, 'ActiveTime': 1105.556516, 'InactiveTime': 84.507868, 'CompletedLevels': 6}","{'ActiveTime': 37.495284000000005, 'InactiveTime': 0, 'InteractionEvents': 21, 'CreateShape': 2, 'UsedFigures': {'cube': 0, 'pyramid': 0, 'ramp': 2, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 8, 'MoveShape': 0, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 11, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 0, 'Completed': False}"
4. Match Silhouettes~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,4,"{'#Attempt': 1, '#GlobalAttempt': 4, 'ActiveTime': 370.287607, 'InactiveTime': 0, 'CompletedLevels': 4}","{'ActiveTime': 30.015618999999997, 'InactiveTime': 0, 'InteractionEvents': 4, 'CreateShape': 2, 'UsedFigures': {'cube': 1, 'pyramid': 1, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 1, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': True}"
1. One Box~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,1,"{'#Attempt': 1, '#GlobalAttempt': 1, 'ActiveTime': 65.99053699999999, 'InactiveTime': 0, 'CompletedLevels': 1}","{'ActiveTime': 65.99053699999999, 'InactiveTime': 0, 'InteractionEvents': 11, 'CreateShape': 1, 'UsedFigures': {'cube': 1, 'pyramid': 0, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 9, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': True}"
5. Removing Objects~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,5,"{'#Attempt': 1, '#GlobalAttempt': 5, 'ActiveTime': 747.636027, 'InactiveTime': 84.507868, 'CompletedLevels': 4}","{'ActiveTime': 377.34842000000003, 'InactiveTime': 84.507868, 'InteractionEvents': 76, 'CreateShape': 8, 'UsedFigures': {'cube': 1, 'pyramid': 6, 'ramp': 0, 'cylinder': 0, 'cone': 1, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 22, 'ScaleShape': 0, 'DeleteFigure': 5, 'RotateView': 36, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 4, 'Completed': False}"
2. Separated Boxes~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,2,"{'#Attempt': 1, '#GlobalAttempt': 2, 'ActiveTime': 51.714194000000006, 'InactiveTime': 0, 'CompletedLevels': 2}","{'ActiveTime': 24.951043000000002, 'InactiveTime': 0, 'InteractionEvents': 6, 'CreateShape': 2, 'UsedFigures': {'cube': 2, 'pyramid': 0, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 3, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': True}"
6. Stretch a Ramp~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,6,"{'#Attempt': 1, '#GlobalAttempt': 6, 'ActiveTime': 685.4369450000002, 'InactiveTime': 103.141874, 'CompletedLevels': 5}","{'ActiveTime': 126.82249, 'InactiveTime': 0, 'InteractionEvents': 49, 'CreateShape': 2, 'UsedFigures': {'cube': 0, 'pyramid': 0, 'ramp': 2, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 1, 'ScaleShape': 16, 'DeleteFigure': 1, 'RotateView': 26, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 3, 'Completed': True}"
Zzz~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,Zzz,16,"{'#Attempt': 1, '#GlobalAttempt': 16, 'ActiveTime': 1397.46776, 'InactiveTime': 451.63654599999995, 'CompletedLevels': 8}","{'ActiveTime': 69.180675, 'InactiveTime': 152.699846, 'InteractionEvents': 15, 'CreateShape': 4, 'UsedFigures': {'cube': 0, 'pyramid': 0, 'ramp': 0, 'cylinder': 2, 'cone': 2, 'sphere': 0}, 'RotateShape': 10, 'MoveShape': 0, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': False}"
7. Max 2 Boxes~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,7,"{'#Attempt': 1, '#GlobalAttempt': 7, 'ActiveTime': 703.6062220000001, 'InactiveTime': 103.141874, 'CompletedLevels': 6}","{'ActiveTime': 18.169277, 'InactiveTime': 0, 'InteractionEvents': 4, 'CreateShape': 1, 'UsedFigures': {'cube': 1, 'pyramid': 0, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 0, 'ScaleShape': 2, 'DeleteFigure': 0, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': True}"
3. Rotate a Pyramid~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,3,"{'#Attempt': 1, '#GlobalAttempt': 3, 'ActiveTime': 130.30347700000002, 'InactiveTime': 0, 'CompletedLevels': 3}","{'ActiveTime': 78.58928300000001, 'InactiveTime': 0, 'InteractionEvents': 14, 'CreateShape': 2, 'UsedFigures': {'cube': 0, 'pyramid': 2, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 2, 'MoveShape': 6, 'ScaleShape': 0, 'DeleteFigure': 1, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 3, 'Completed': True}"
Angled Silhouette~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,Angled Silhouette,15,"{'#Attempt': 1, '#GlobalAttempt': 15, 'ActiveTime': 1328.287085, 'InactiveTime': 298.9367, 'CompletedLevels': 8}","{'ActiveTime': 6.233843, 'InactiveTime': 0, 'InteractionEvents': 0, 'CreateShape': 0, 'UsedFigures': {'cube': 0, 'pyramid': 0, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 0, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 0, 'Completed': False}"
Bird Fez~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,Bird Fez,11,"{'#Attempt': 1, '#GlobalAttempt': 11, 'ActiveTime': 1168.6134809999999, 'InactiveTime': 252.275597, 'CompletedLevels': 8}","{'ActiveTime': 46.815825000000004, 'InactiveTime': 149.133723, 'InteractionEvents': 6, 'CreateShape': 3, 'UsedFigures': {'cube': 1, 'pyramid': 0, 'ramp': 0, 'cylinder': 0, 'cone': 1, 'sphere': 1}, 'RotateShape': 2, 'MoveShape': 0, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': False}"
Bird Fez~2,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,Bird Fez,13,"{'#Attempt': 2, '#GlobalAttempt': 13, 'ActiveTime': 1243.4005359999999, 'InactiveTime': 252.275597, 'CompletedLevels': 8}","{'ActiveTime': 2.467756, 'InactiveTime': 0, 'InteractionEvents': 0, 'CreateShape': 0, 'UsedFigures': {'cube': 0, 'pyramid': 0, 'ramp': 0, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 0, 'MoveShape': 0, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 0, 'Completed': False}"
8. Combine 2 Ramps~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,8,"{'#Attempt': 1, '#GlobalAttempt': 8, 'ActiveTime': 830.205866, 'InactiveTime': 103.141874, 'CompletedLevels': 7}","{'ActiveTime': 126.59964399999996, 'InactiveTime': 0, 'InteractionEvents': 65, 'CreateShape': 3, 'UsedFigures': {'cube': 0, 'pyramid': 0, 'ramp': 3, 'cylinder': 0, 'cone': 0, 'sphere': 0}, 'RotateShape': 18, 'MoveShape': 4, 'ScaleShape': 0, 'DeleteFigure': 0, 'RotateView': 37, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 3, 'Completed': True}"
Boxes Obscure Spheres~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,Boxes Obscure Spheres,14,"{'#Attempt': 1, '#GlobalAttempt': 14, 'ActiveTime': 1322.053242, 'InactiveTime': 298.9367, 'CompletedLevels': 8}","{'ActiveTime': 78.652706, 'InactiveTime': 46.661103, 'InteractionEvents': 15, 'CreateShape': 6, 'UsedFigures': {'cube': 3, 'pyramid': 0, 'ramp': 0, 'cylinder': 1, 'cone': 0, 'sphere': 2}, 'RotateShape': 0, 'MoveShape': 2, 'ScaleShape': 0, 'DeleteFigure': 1, 'RotateView': 0, 'Snapshots': 0, 'TimeStampSnapshots': [], 'CheckSolution': 1, 'Completed': False}"
